project_code,date,rainfall_mm,temp_avg_c,temp_max_c,temp_min_c
612786.0,20230101,0.0,24.83,30.75,20.14
612786.0,20230102,0.0,24.79,30.32,20.66
612786.0,20230103,0.02,24.58,29.91,20.64
612786.0,20230104,0.1,24.47,30.02,20.41
612786.0,20230105,0.51,24.33,29.13,21.1
612786.0,20230106,0.01,24.08,30.11,19.87
612786.0,20230107,0.0,23.69,29.2,19.5
612786.0,20230108,0.0,21.54,29.77,14.09
612786.0,20230109,0.0,22.4,29.56,17.02
612786.0,20230110,0.0,22.94,30.48,17.7
612786.0,20230111,0.0,22.94,30.97,17.16
612786.0,20230112,0.0,22.81,30.6,16.45
612786.0,20230113,0.0,23.24,30.73,17.48
612786.0,20230114,0.0,23.28,31.16,17.59
612786.0,20230115,0.0,23.0,31.16,16.77
612786.0,20230116,0.0,23.02,30.88,16.53
612786.0,20230117,0.0,23.38,30.96,18.07
612786.0,20230118,0.0,23.29,30.92,17.11
612786.0,20230119,0.0,23.66,30.83,18.41
612786.0,20230120,0.0,24.05,30.3,19.52
612786.0,20230121,0.0,24.39,30.51,19.78
612786.0,20230122,0.0,24.35,30.54,20.15
612786.0,20230123,0.0,24.27,31.49,19.14
612786.0,20230124,0.0,23.94,31.2,19.04
612786.0,20230125,0.0,23.44,30.71,18.82
612786.0,20230126,0.0,23.73,31.46,18.19
612786.0,20230127,0.0,24.11,31.94,18.56
612786.0,20230128,0.0,24.38,32.44,18.38
612786.0,20230129,0.0,25.04,32.22,19.97
612786.0,20230130,0.01,25.78,32.0,21.48
612786.0,20230131,0.01,25.29,31.81,20.79
612786.0,20230201,0.0,25.98,32.99,20.77
612786.0,20230202,0.0,25.6,32.96,19.66
612786.0,20230203,0.0,25.66,33.04,19.65
612786.0,20230204,0.0,26.46,34.4,20.5
612786.0,20230205,0.0,26.42,34.31,21.23
612786.0,20230206,0.0,26.0,34.12,19.82
612786.0,20230207,0.0,26.08,33.71,20.16
612786.0,20230208,0.0,26.9,34.93,21.02
612786.0,20230209,0.0,26.64,34.72,20.47
612786.0,20230210,0.0,26.71,35.56,19.63
612786.0,20230211,0.0,27.07,36.43,19.15
612786.0,20230212,0.0,27.29,36.97,19.54
612786.0,20230213,0.0,26.75,37.02,18.25
612786.0,20230214,0.0,27.02,36.12,19.66
612786.0,20230215,0.0,26.52,36.27,18.31
612786.0,20230216,0.0,26.89,36.33,19.85
612786.0,20230217,0.0,26.48,34.73,19.17
612786.0,20230218,0.0,26.59,34.07,20.17
612786.0,20230219,0.0,27.45,35.32,20.77
612786.0,20230220,0.0,27.79,36.15,20.53
612786.0,20230221,0.0,28.1,36.86,20.54
612786.0,20230222,0.0,28.09,36.88,20.77
612786.0,20230223,0.0,27.48,36.22,20.7
612786.0,20230224,0.0,28.06,37.62,19.87
612786.0,20230225,0.0,28.24,37.35,20.39
612786.0,20230226,0.0,27.5,36.07,20.41
612786.0,20230227,0.0,27.22,35.59,20.45
612786.0,20230228,0.0,27.29,36.06,20.27
612786.0,20230301,0.0,27.31,35.92,20.33
612786.0,20230302,0.0,27.88,36.38,21.29
612786.0,20230303,0.0,28.17,37.16,20.57
612786.0,20230304,0.0,28.5,37.03,22.23
612786.0,20230305,0.0,28.47,37.51,21.25
612786.0,20230306,0.0,28.35,37.45,20.8
612786.0,20230307,0.0,27.96,36.78,20.67
612786.0,20230308,0.0,28.43,36.54,22.2
612786.0,20230309,0.0,27.72,34.2,23.23
612786.0,20230310,0.0,28.54,37.04,22.22
612786.0,20230311,0.0,28.21,36.49,21.7
612786.0,20230312,0.0,28.44,37.21,21.99
612786.0,20230313,0.0,28.91,37.43,21.31
612786.0,20230314,0.0,29.36,38.21,21.72
612786.0,20230315,0.07,28.78,37.22,22.16
612786.0,20230316,3.14,28.84,36.05,23.36
612786.0,20230317,5.31,26.82,31.4,23.72
612786.0,20230318,10.28,27.13,32.8,23.27
612786.0,20230319,4.15,27.47,33.09,24.39
612786.0,20230320,0.42,28.33,34.83,23.81
612786.0,20230321,0.09,29.01,36.31,23.5
612786.0,20230322,0.26,29.65,36.7,24.41
612786.0,20230323,0.84,29.71,36.27,24.93
612786.0,20230324,0.49,29.87,36.47,24.72
612786.0,20230325,0.04,29.91,36.44,25.71
612786.0,20230326,0.03,30.5,37.69,24.41
612786.0,20230327,0.07,31.55,39.09,25.75
612786.0,20230328,0.08,31.13,38.37,25.74
612786.0,20230329,0.02,30.63,38.28,25.43
612786.0,20230330,0.16,30.67,39.08,25.14
612786.0,20230331,0.13,30.89,39.41,24.34
612786.0,20230401,0.46,31.07,38.38,25.73
612786.0,20230402,0.36,30.9,38.12,25.64
612786.0,20230403,0.25,31.05,38.33,25.78
612786.0,20230404,0.05,31.6,39.22,25.77
612786.0,20230405,0.04,31.95,39.68,26.43
612786.0,20230406,0.01,31.86,39.69,26.06
612786.0,20230407,0.01,30.99,38.12,25.78
612786.0,20230408,0.0,31.39,39.52,25.31
612786.0,20230409,0.0,30.82,39.64,23.83
612786.0,20230410,0.0,31.06,40.35,23.0
612786.0,20230411,0.0,31.73,41.11,23.41
